song_name,artist,play_count
ダブルラリアット,アゴアニキP,4
ロストワンの号哭,Neru,4
ハッピーシンセサイザ,Easy Pop,4
メランコリーキッチン,ハチ,4
ムーンライト伝説,DALI,4
君の知らない物語,supercell,4
Shout Baby,緑黄色社会,4
瞬間センチメンタル,SCANDAL,4
Believe,Folder5,4
愛迷エレジー,DECO*27,4
サウダージ,ポルノグラフィティ,4
コイスルオトメ,いきものがかり,4
FLY HIGH!!,BURNOUT SYNDROMES,4
平行線,さユり,4
最後の雨,中西保志,4
ひまわりの約束,秦基博,4
フライングゲット,AKB48,4
Pretender,Official髭男dism,4
晩餐歌,Tuki.,4
裸の心,あいみょん,4
"Hello, world!",BUMP OF CHICKEN,3
クロノスタシス,BUMP OF CHICKEN,3
太陽,BUMP OF CHICKEN,3
窓の中から,,3
境界線,amazarashi,3
風に流離い,amazarashi,3
性善説,amazarashi,3
逃避行,amazarashi,3
とどめを刺して,amazarashi,3
空洞空洞,amazarashi,3
オンリーロンリーグローリー,BUMP OF CHICKEN,3
firefly,BUMP OF CHICKEN,3
花人局,ヨルシカ,3
前前前世,RADWIMPS,3
me me she,RADWIMPS,3
かさぶたぶたぶ,BUMP OF CHICKEN,3
東京賛歌,,3
彼女と星の椅子,BUMP OF CHICKEN,3
アルエ,BUMP OF CHICKEN,3
新世界,BUMP OF CHICKEN,3
white note,,3
(please) forgive,BUMP OF CHICKEN,3
魔法の料理 君から君へ,BUMP OF CHICKEN,3
BABY STEP,LAMP IN TARREN,3
アイロニ,すこっぷ,3
ルカルカ★ナイトフィーバー,samfree,3
天ノ弱,164,3
裏表ラバーズ,wowaka,3
吉原ラメント,亜紗,3
リライト,ASIAN KUNG-FU GENERATION,3
君はロックを聞かない,あいみょん,3
今宵の月のように,エレファントカシマシ,3
新時代,Ado,3
memories,大槻マキ,3
プロミスザスター,BiSH,3
Wherever you are,ONE OK ROCK,3
ワールドランプシェード,buzzG,3
愛を伝えたいだとか,あいみょん,3
vivi,米津玄師,3
赤いスイートピー,松田聖子,3
光と影,ハナレグミ,3
Just Be Friends,Dixie Flatline,3
KissHug,aiko,3
桜のあと,UNISON SQUARE GARDEN,3
藍二乗,ヨルシカ,3
わたしの一番かわいいところ,FRUITS ZIPPER,3
打上花火,DAOKO×米津玄師,3
曇天,DOES(初披露),3
さよならはエモーション,サカナクション,3
(Mary Gold,Aimyon),3
なないろ／BUMP OF CHICKEN,,3
ぐるぐる／ミナミイズミ,,3
Sleep Walking Orchestra,,2
邂逅,,2
Gravity,,2
木漏れ日と一緒に,,2
もう一度,amazarashi,2
バナナフィッシュの浜辺と黒い虹,Galileo Galilei,2
ロストマン,,2
R.I.P.,,2
ファイター,,2
悪魔の踊り方,キタニタツヤ,2
PINK,キタニタツヤ,2
スカー,キタニタツヤ,2
言って。,ヨルシカ,2
夜紛い,ヨルシカ,2
チノカテ,ヨルシカ,2
ノーチラス,ヨルシカ,2
レプリカント,ヨルシカ,2
心に穴が空いた,ヨルシカ,2
君と羊と青,RADWIMPS,2
voyager,,2
プラネタリウム,BUMP OF CHICKEN,2
ひとりごと,BUMP OF CHICKEN,2
arrows,,2
銀河鉄道,,2
同じドアをくぐれたら,,2
スノースマイル,BUMP OF CHICKEN (ライブアレンジver),2
夢の飼い主,,2
Stage of the ground,BUMP OF CHICKEN,2
ベンチとコーヒー,BUMP OF CHICKEN,2
グングニル,,2
ベストピクチャー,,2
リリィ,,2
Ever lasting lie,,2
グロリアスレボリューション,,2
ガラスのブルース,BUMP OF CHICKEN,2
ナイフ,BUMP OF CHICKEN,2
Small world,BUMP OF CHICKEN,2
青の朔日,BUMP OF CHICKEN,2
シリウス,,2
アリア,,2
望遠のマーチ,BUMP OF CHICKEN,2
Spica,BUMP OF CHICKEN,2
流れ星の正体,,2
"Hello,world!",BUMP OF CHICKEN,2
パレード,,2
孤独の合唱,BUMP OF CHICKEN,2
You were here,,2
虹を待つ人,BUMP OF CHICKEN,2
ラストワン,,2
morning glow,BUMP OF CHICKEN,2
トーチ,BUMP OF CHICKEN,2
友達の唄,,2
グッドラック,BUMP OF CHICKEN,2
歩く幽霊,BUMP OF CHICKEN,2
三ツ星カルテット,,2
分別奮闘記,,2
HAPPY,BUMP OF CHICKEN,2
セントエルモの火,皇美緒奈,2
宇宙飛行士への手紙,,2
Merry Christmas,,2
ジュブナイル,Juvenile (初披露),2
僕が死のうと思ったのは,Amazarashi,2
猟奇的なキスを私にして,ゲスの極み乙女。,2
#2 残酷な天使のテーゼ,高橋洋子,2
#30 Break through,ミナミイズミ,2
ヨンジュウナナ,みきとP,2
マトリョシカ,ハチ,2
